Species,Species_Real,Kingdom,Phylum,Class ,Order,Family ,Genus,Species,Label
Sp1_2021,Sp1,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium rostratifingens,Sp1_Globisporangium rostratifingens
Sp2_2021,Sp2,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium irregulare,Sp2_Globisporangium irregulare
Sp3_2021,Sp3,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium longandrum,Sp3_Globisporangium longandrum
Sp4_2021,Sp4,Stramenopila,Oomycota,Oomycete,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora nicotianae,Sp4_Phytophthora nicotianae
Sp5_2021,Sp5,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium perplexum,Sp5_Globisporangium perplexum
Sp6_2021,Sp6,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium spinosum,Sp6_Globisporangium spinosum
Sp7_2021,Sp7,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium sylvaticum,Sp7_Globisporangium sylvaticum
Sp8_2021,Sp8,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium heterothallicum,Sp8_Globisporangium heterothallicum
Sp9_2021,Sp9,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Phytopythium,Phytopythium helicoides,Sp9_Phytopythium helicoides
Sp10_2021,Sp10,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium glomeratum,Sp10_Globisporangium glomeratum
Sp11_2021,Sp11,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium dissotocum,Sp11_Pythium dissotocum
Sp12_2021,Sp12,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium orthogonon,Sp12_Globisporangium orthogonon
Sp13_2021,Sp13,Stramenopila,Oomycota,Oomycete,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora cactorum,Sp13_Phytophthora cactorum
Sp14_2021,Sp14,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium torulosum,Sp14_Pythium torulosum
Sp15_2021,Sp15,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium inflatum,Sp15_Pythium inflatum
Sp16_2021,Sp16,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium acanthicum,Sp16_Pythium acanthicum
Sp17_2021,Sp17,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium cryptoirregulare,Sp17_Globisporangium cryptoirregulare
Sp18_2021,Sp18,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium aristosporum,Sp18_Pythium aristosporum
Sp19_2021,Sp19,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Phytopythium,Phytopythium cucurbitacearum,Sp19_Phytopythium cucurbitacearum
Sp20_2021,Sp20,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporngium,Globisporngium acanthophoron,Sp20_Globisporangium acanthophoron
Sp21_2021,Sp21,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium vanterpoolii,Sp21_Pythium vanterpoolii
Sp22_2021,Sp22,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium attrantheridium,Sp22_Globisporangium attrantheridium
Sp23_2021,Sp23,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium periplocum,Sp23_Pythium periplocum
Sp24_2021,Sp24,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium oligandrum,Sp24_Pythium oligandrum
Sp25_2021,Sp25,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium nunn,Sp25_Globisporangium nunn
Sp26_2021,Sp26,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium sp. Clade E,Sp26_Globisporangium sp. Clade E
Sp1_2022,Sp1,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium nunn,Sp1_Globisporangium nunn
Sp2_2022,Sp2,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium torulosum,Sp2_Pythium torulosum
Sp3_2022,Sp3,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium acanthophoron,Sp3_Globisporangium acanthophoron
Sp4_2022,Sp4,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Phytopythium,Phytopythium cucurbitacearum,Sp4_Phytopythium cucurbitacearum
Sp5_2022,Sp5,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium deliense,Sp5_Pythium deliense
Sp6_2022,Sp6,Stramenopila,Oomycota,Oomycete,Perenosporales,Perenosporaceae,Phytophthora,Phytophthora nicotianae,Sp6_Phytophthora nicotianae
Sp7_2022,Sp7,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Phytopythium,Phytopythium helicoides,Sp7_Phytopythium helicoides
Sp8_2022,Sp8,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium spinosum,Sp8_Globisporangium spinosum
Sp9_2022,Sp9,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium irregulare,Sp9_Globisporangium irregulare
Sp10_2022,Sp10,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium oligandrum,Sp10_Pythium oligandrum
Sp11_2022,Sp11,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium acanthicum,Sp11_Pythium acanthicum
Sp12_2022,Sp12,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium perplexum,Sp12_Globisporangium perplexum
Sp13_2022,Sp13,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium heterothallicum,Sp13_Globisporangium heterothallicum
Sp14_2022,Sp14,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium pleroticum,Sp14_Globisporangium pleroticum
Sp15_2022,Sp15,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium dissotocum,Sp15_Pythium dissotocum
Sp16_2022,Sp16,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium sylvaticum,Sp16_Globisporangium sylvaticum
Sp17_2022,Sp17,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium rostratifingens,Sp17_Globisporangium rostratifingens
Sp18_2022,Sp18,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium sp. Clade E,Sp18_Globisporangium sp. Clade E
Sp19_2022,Sp19,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium oopapillum,Sp19_Pythium oopapillum
Sp20_2022,Sp20,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium glomeratum,Sp20_Globisporangium glomeratum
Sp21_2022,Sp21,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium periplocum,Sp21_Pythium periplocum
Sp22_2022,Sp22,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium orthogonon,Sp22_Globisporangium orthogonon
Sp23_2022,Sp23,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Globisporangium,Globisporangium splendens ,Sp23_Globisporangium splendens 
Sp24_2022,Sp24,Stramenopila,Oomycota,Oomycete,Pythiales,Pythiaceae,Pythium,Pythium aphanidermatum,Sp24_Pythium aphanidermatum
